work_item,behavior_id,acceptance_id,test_file,cycle_id,evidence_level,status
REPO-003,BEH-CORE,AC-REPO-002,packages/jobs/test/task-pool.test.ts,TDD-101,L2,VERIFIED
REPO-003,BEH-CORE,AC-REPO-002,packages/jobs/test/protocol.test.ts,TDD-101,L2,VERIFIED
REPO-003,BEH-CORE,AC-REPO-002,packages/jobs/test/task-id.test.ts,TDD-101,L2,VERIFIED
REPO-003,BEH-CORE,AC-REPO-002,packages/jobs/test/semaphore.test.ts,TDD-101,L2,VERIFIED
REPO-003,BEH-CORE,AC-REPO-001,packages/jobs/src/index.ts,TDD-101,L2,VERIFIED
REPO-003,BEH-CORE,AC-REPO-004,packages/jobs/test/protocol.test.ts,TDD-101,L2,VERIFIED
REPO-003,BEH-SSH-ADAPTER,AC-REPO-003,apps/ssh-mcp/test/jobs.test.ts,TDD-102,L2,VERIFIED
REPO-003,BEH-SSH-ADAPTER,AC-REPO-003,apps/ssh-mcp/test/process.test.ts,TDD-102,L2,VERIFIED
REPO-003,BEH-SSH-ADAPTER,AC-REPO-003,apps/ssh-mcp/test/policy.test.ts,TDD-102,L2,VERIFIED
REPO-003,BEH-SSH-ADAPTER,AC-REPO-001,apps/ssh-mcp/src/jobs.ts,TDD-102,L2,VERIFIED
REPO-003,BEH-SSH-ADAPTER,AC-REPO-004,apps/ssh-mcp/src/jobs.ts,TDD-102,L2,VERIFIED
REPO-003,BEH-SSH-ADAPTER,AC-REPO-001,apps/ssh-mcp/test/identity.test.ts,TDD-102,L2,VERIFIED
REPO-003,BEH-SSH-ADAPTER,AC-REPO-003,apps/ssh-mcp/test/identity.test.ts,TDD-102,L2,VERIFIED
REPO-003,BEH-SSH-ADAPTER,AC-REPO-003,apps/ssh-mcp/test/admin.test.ts,TDD-102,L2,VERIFIED
REPO-003,BEH-SSH-ADAPTER,AC-REPO-003,apps/ssh-mcp/test/guidance.test.ts,TDD-102,L2,VERIFIED
REPO-003,BEH-SSH-ADAPTER,AC-REPO-003,apps/ssh-mcp/test/config.test.ts,TDD-102,L2,VERIFIED
REPO-003,BEH-SSH-ADAPTER,AC-REPO-003,apps/ssh-mcp/test/safety.test.ts,TDD-102,L2,VERIFIED
REPO-003,BEH-SSH-ADAPTER,AC-REPO-003,apps/ssh-mcp/test/ssh.test.ts,TDD-102,L2,VERIFIED
